ClassCode,LabelName,Supercategory
0,/m/061hd_,"[31, 298]"
1,/m/06m11,[73]
2,/m/03120,['None']
3,/m/01kb5b,['None']
4,/m/0120dh,"[49, 58]"
5,/m/0dv5r,['None']
6,/m/0jbk,['None']
7,/m/0174n1,['None']
8,/m/09f_2,"[58, 6]"
9,/m/01xq0k1,[6]
10,/m/03jm5,[43]
11,/m/02g30s,['None']
12,/m/05z6w,"[229, 6]"
13,/m/01jfm_,['None']
14,/m/076lb9,['None']
15,/m/0gj37,"[236, 249, 6]"
16,/m/0k0pj,['None']
17,/m/0kpqd,[303]
18,/m/0l14j_,[256]
19,/m/0cyf8,"[39, 249, 6]"
20,/m/0174k2,[234]
21,/m/0dq75,"[62, 6]"
22,/m/076bq,"[344, 148]"
23,/m/07crc,['None']
24,/m/0d8zb,"[455, 266]"
25,/m/0fszt,[97]
26,/m/0k1tl,[421]
27,/m/020kz,[138]
28,/m/09728,['None']
29,/m/07j7r,['None']
30,/m/0fbdv,"[6, 369]"
31,/m/03ssj5,[298]
32,/m/03qrc,[6]
33,/m/02dl1y,['None']
34,/m/01k6s3,[234]
35,/m/02jfl0,[33]
36,/m/01krhy,['None']
37,/m/04kkgm,[348]
38,/m/0ft9s,"[249, 266]"
39,/m/0d_2m,"[249, 266]"
40,/m/0czz2,[6]
41,/m/0f4s2w,['None']
42,/m/07dd4,['None']
43,/m/0cgh4,['None']
44,/m/03bbps,['None']
45,/m/02pjr4,"[234, 319]"
46,/m/04p0qw,['None']
47,/m/02pdsw,['None']
48,/m/01yx86,[442]
49,/m/09dzg,"[58, 6]"
50,/m/0hkxq,[41]
51,/m/07dm6,"[62, 6]"
52,/m/054_l,['None']
53,/m/01dws,"[62, 6]"
54,/m/027pcv,"[398, 41]"
55,/m/01d40f,['None']
56,/m/02rgn06,[426]
57,/m/0342h,[256]
58,/m/06bt6,[6]
59,/m/0323sq,"[344, 148]"
60,/m/02zvsm,['None']
61,/m/02fq_6,[33]
62,/m/01lrl,[6]
63,/m/0k4j,"[344, 148]"
64,/m/04h7h,[43]
65,/m/07xyvk,"[234, 319]"
66,/m/03y6mg,[319]
67,/m/07r04,"[344, 148]"
68,/m/03__z0,[298]
69,/m/019w40,['None']
70,/m/09j5n,['None']
71,/m/0cvnqh,[298]
72,/m/01llwg,['None']
73,/m/0c9ph5,['None']
74,/m/015x5n,[41]
75,/m/0gd2v,[6]
76,/m/04v6l4,['None']
77,/m/02jz0l,[407]
78,/m/0dj6p,[303]
79,/m/04ctx,[138]
80,/m/080hkjn,[309]
81,/m/01c648,['None']
82,/m/01j61q,['None']
83,/m/012n7d,"[344, 148]"
84,/m/025nd,[29]
85,/m/09csl,"[229, 6]"
86,/m/01lcw4,"[63, 344]"
87,/m/0h8n5zk,"[134, 298]"
88,/m/0633h,"[53, 62]"
89,/m/01fdzj,[43]
90,/m/01226z,[426]
91,/m/0mw_6,[29]
92,/m/04hgtk,['None']
93,/m/02pv19,[359]
94,/m/09qck,[303]
95,/m/063rgb,"[234, 319]"
96,/m/0lt4_,['None']
97,/m/0270h,['None']
98,/m/01h3n,"[249, 266]"
99,/m/01mzpv,[298]
100,/m/04169hn,[234]
101,/m/0fm3zh,['None']
102,/m/0d20w4,['None']
103,/m/0_cp5,"[30, 266, 6, 369, 6]"
104,/m/01dy8n,"[229, 6]"
105,/m/03m5k,[256]
106,/m/03dnzn,[407]
107,/m/0h8mzrc,"[250, 298]"
108,/m/0h8mhzd,['None']
109,/m/03d443,[6]
110,/m/01gllr,['None']
111,/m/0642b4,[298]
112,/m/09b5t,"[229, 6]"
113,/m/04yx4,[338]
114,/m/01f8m5,"[229, 6]"
115,/m/015x4r,[41]
116,/m/01j51,[373]
117,/m/02zt3,[373]
118,/m/03tw93,['None']
119,/m/01jfsr,['None']
120,/m/04ylt,[138]
121,/m/0bt_c3,['None']
122,/m/0cmx8,[348]
123,/m/0hqkz,[303]
124,/m/071qp,[6]
125,/m/0cyhj_,[303]
126,/m/01xygc,['None']
127,/m/0420v5,['None']
128,/m/0898b,[6]
129,/m/01knjb,['None']
130,/m/0199g,"[344, 148]"
131,/m/03c7gz,['None']
132,/m/02x984l,[234]
133,/m/04zwwv,[421]
134,/m/04bcr3,[298]
135,/m/0gv1x,"[229, 6]"
136,/m/01nq26,['None']
137,/m/02s195,['None']
138,/m/083kb,['None']
139,/m/06nrc,[138]
140,/m/0jyfg,[474]
141,/m/0nybt,"[302, 6]"
142,/m/0176mf,['None']
143,/m/01rzcn,[148]
144,/m/0d4v4,['None']
145,/m/03bk1,[6]
146,/m/096mb,"[62, 6]"
147,/m/0h9mv,['None']
148,/m/07yv9,['None']
149,/m/0ph39,"[155, 143]"
150,/m/01rkbr,['None']
151,/m/0gjbg72,[298]
152,/m/06z37_,['None']
153,/m/01m4t,['None']
154,/m/035r7c,['None']
155,/m/019jd,"[143, 148]"
156,/m/02tsc9,[319]
157,/m/015wgc,['None']
158,/m/0c06p,['None']
159,/m/01dwwc,['None']
160,/m/034c16,['None']
161,/m/0242l,['None']
162,/m/02lbcq,['None']
163,/m/03nfch,[70]
164,/m/03bt1vf,[338]
165,/m/01lynh,['None']
166,/m/03q5t,[256]
167,/m/0fqt361,[298]
168,/m/01bjv,"[344, 148]"
169,/m/01s55n,[309]
170,/m/0283dt1,['None']
171,/m/01z1kdw,[246]
172,/m/016m2d,['None']
173,/m/02dgv,['None']
174,/m/07y_7,[256]
175,/m/01_5g,[348]
176,/m/06_72j,[250]
177,/m/0ftb8,[73]
178,/m/0c29q,"[62, 6]"
179,/m/0jg57,[41]
180,/m/02l8p9,"[75, 6]"
181,/m/078jl,"[58, 6]"
182,/m/0llzx,[234]
183,/m/0dbvp,"[229, 6]"
184,/m/09ct_,"[321, 148]"
185,/m/0dkzw,['None']
186,/m/02p5f1q,[348]
187,/m/0fx9l,"[234, 319]"
188,/m/01b9xk,['None']
189,/m/0b3fp9,['None']
190,/m/0h8n27j,[348]
191,/m/0h8n6f9,['None']
192,/m/01599,[246]
193,/m/017ftj,[474]
194,/m/044r5d,['None']
195,/m/01dwsz,['None']
196,/m/0cdl1,[29]
197,/m/07gql,[256]
198,/m/0hdln,['None']
199,/m/0zvk5,['None']
200,/m/012w5l,['None']
201,/m/021sj1,[43]
202,/m/0bh9flk,['None']
203,/m/09gtd,[421]
204,/m/0jwn_,[303]
205,/m/02wv6h6,['None']
206,/m/02wv84t,[234]
207,/m/021mn,[97]
208,/m/018p4k,"[344, 148]"
209,/m/06j2d,"[229, 6]"
210,/m/033cnk,['None']
211,/m/01j3zr,['None']
212,/m/03fwl,[6]
213,/m/058qzx,[348]
214,/m/06_fw,['None']
215,/m/02x8cch,[348]
216,/m/04g2r,"[62, 6]"
217,/m/01b638,[70]
218,/m/099ssp,[348]
219,/m/071p9,['None']
220,/m/01gkx_,['None']
221,/m/0b_rs,['None']
222,/m/03v5tg,['None']
223,/m/01j5ks,['None']
224,/m/026t6,[256]
225,/m/0_k2,"[249, 266]"
226,/m/039xj_,['None']
227,/m/01b7fy,['None']
228,/m/0220r2,['None']
229,/m/015p6,[6]
230,/m/0fly7,[467]
231,/m/07c52,['None']
232,/m/0n28_,"[30, 455, 6, 266, 369]"
233,/m/0hg7b,['None']
234,/m/019dx1,['None']
235,/m/04vv5k,['None']
236,/m/020jm,"[249, 266]"
237,/m/047v4b,[41]
238,/m/01xs3r,"[143, 148]"
239,/m/03kt2w,['None']
240,/m/03q69,['None']
241,/m/01dxs,"[53, 62]"
242,/m/01h8tj,"[455, 266]"
243,/m/0dt3t,[348]
244,/m/0cjq5,"[30, 455, 6, 266, 369]"
245,/m/0h8lkj8,[415]
246,/m/0271t,['None']
247,/m/03q5c7,[348]
248,/m/0fj52s,[41]
249,/m/03vt0,"[266, 6]"
250,/m/01x3z,['None']
251,/m/0d5gx,[43]
252,/m/0h8my_4,[370]
253,/m/03ldnb,[234]
254,/m/0cjs7,[41]
255,/m/0449p,"[62, 6]"
256,/m/04szw,['None']
257,/m/07jdr,"[344, 148]"
258,/m/01yrx,"[62, 6]"
259,/m/06c54,[138]
260,/m/04h8sr,['None']
261,/m/050k8,[415]
262,/m/0pg52,"[344, 148]"
263,/m/02f9f_,[407]
264,/m/054fyh,[348]
265,/m/09k_b,[303]
266,/m/03xxp,[6]
267,/m/0jly1,"[229, 6]"
268,/m/06k2mb,[70]
269,/m/04yqq2,[442]
270,/m/0bwd_0j,[6]
271,/m/02h19r,['None']
272,/m/02zn6n,['None']
273,/m/07c6l,[256]
274,/m/05zsy,"[398, 41]"
275,/m/025dyy,[421]
276,/m/07j87,"[41, 303]"
277,/m/09ld4,"[58, 6]"
278,/m/01vbnl,[407]
279,/m/0dzct,['None']
280,/m/03fp41,['None']
281,/m/0h2r6,"[63, 344]"
282,/m/0by6g,"[302, 6]"
283,/m/0cxn2,[97]
284,/m/04tn4x,['None']
285,/m/0f6wt,"[229, 6]"
286,/m/05n4y,"[229, 6]"
287,/m/0gxl3,[138]
288,/m/02d9qx,[421]
289,/m/04m9y,"[58, 6]"
290,/m/05z55,['None']
291,/m/01x3jk,"[344, 148]"
292,/m/0h8l4fh,['None']
293,/m/031b6r,['None']
294,/m/01tcjp,[97]
295,/m/01f91_,['None']
296,/m/02522,['None']
297,/m/0319l,[256]
298,/m/0c_jw,['None']
299,/m/0l515,['None']
300,/m/0306r,"[62, 6]"
301,/m/0crjs,[43]
302,/m/0ch_cf,[6]
303,/m/02xwb,['None']
304,/m/01r546,['None']
305,/m/03rszm,['None']
306,/m/0388q,[303]
307,/m/03m3pdh,"[422, 298]"
308,/m/03k3r,[6]
309,/m/0hf58v5,['None']
310,/m/01y9k5,[298]
311,/m/05441v,[474]
312,/m/03p3bw,[199]
